G_k,G_theta,PLRV_distortion,target_epsilon
1.48313132252004,2.06983060999636,4.28419875407791,8.97538097565337+0.00324002193169786i
1.48313132252004,2.08023176884056,4.30572739103307,9.14271645921883+0.00317909471670977i
1.48313132252004,2.09063292768477,4.32725602798824,9.32063383226361+0.00311998312416684i
1.48313132252004,2.10103408652897,4.3487846649434,9.51009423327206+0.0030626056822106i
1.48313132252004,2.11143524537317,4.37031330189857,9.71217410723622+0.00300688480612418i
1.48313132252004,2.12183640421737,4.39184193885373,9.9280825777243+0.0029527464702082i
1.53265431510817,1.877390216574,3.52459402528779,3.68475140533154+271.419448831406i
1.53265431510817,1.88682433826533,3.54230555305305,0.775919461512775+265.368509677744i
1.53265431510817,1.89625845995666,3.56001708081832,2.76126309386791+258.073622446678i
1.53265431510817,1.90569258164798,3.57772860858358,0.505168720153567+252.178789213491i
1.53265431510817,1.91512670333931,3.59544013634885,3.26007236629534+245.08486564104i
1.53265431510817,1.92456082503064,3.61315166411412,1.6636735455204+239.340641230293i
1.53265431510817,1.93399494672196,3.63086319187938,0.372093435559784+233.657937207457i
1.53265431510817,1.94342906841329,3.64857471964465,7.7749212233701+0.00426862704719914i
1.53265431510817,1.95286319010462,3.66628624740991,7.86335576402194+0.00418049681798082i
1.53265431510817,1.96229731179594,3.68399777517518,7.95573405896517+0.00409528933215012i
1.53265431510817,1.97173143348727,3.70170930294044,8.05230489094896+0.00401286870045127i
1.53265431510817,1.9811655551786,3.71942083070571,8.15333754841657+0.00393310684385941i
1.53265431510817,1.99059967686992,3.73713235847097,8.25912392517565+0.00385588293412625i
1.53265431510817,2.00003379856125,3.75484388623624,8.3699808786153+0.00378108287883921i
1.53265431510817,2.00946792025258,3.7725554140015,8.48625288386108+0.00370859884665966i
1.53265431510817,2.0189020419439,3.79026694176677,8.6083150275073+0.0036383288288282i
1.53265431510817,2.02833616363523,3.80797846953203,8.73657639199471+0.00357017623339337i
1.53265431510817,2.03777028532656,3.8256899972973,8.87148389057479+0.00350404950893987i
1.53265431510817,2.04720440701788,3.84340152506256,9.01352662343259+0.00343986179486813i
1.53265431510817,2.05663852870921,3.86111305282783,9.16324083831894+0.00337753059551271i
1.53265431510817,2.06607265040054,3.87882458059309,9.32121559446172+0.00331697747558529i
1.53265431510817,2.07550677209186,3.89653610835836,9.48809924720376+0.00325812777459014i
1.53265431510817,2.08494089378319,3.91424763612362,9.6646068935187+0.00320091033798782i
1.53265431510817,2.09437501547452,3.93195916388889,9.85152894628256+0.00314525726297617i
1.58383092174762,1.71282465993173,2.93376831567024,6.34562282801565+0.0318585028059305i
1.58383092174762,1.72143181902686,2.94851087002034,6.41684248235758+0.0309387569360691i
1.58383092174762,1.730038978122,2.96325342437044,3.59826202598837+389.711472149406i
1.58383092174762,1.73864613721713,2.97799597872055,0.503535787185767+381.034524208162i
1.58383092174762,1.74725329631227,2.99273853307065,1.84569530452105+371.158974990825i
1.58383092174762,1.7558604554074,3.00748108742075,3.79940944276331+361.328517151248i
1.58383092174762,1.76446761450253,3.02222364177085,2.3888997414396+352.811741511019i
1.58383092174762,1.77307477359767,3.03696619612095,1.49243099636511+344.362376969364i
1.58383092174762,1.7816819326928,3.05170875047105,1.10199968280851+335.985193549985i
1.58383092174762,1.79028909178794,3.06645130482116,1.20993586570095+327.684737954198i
1.58383092174762,1.79889625088307,3.08119385917126,1.80889916369429+319.465326775232i
1.58383092174762,1.80750340997821,3.09593641352136,2.89187733304927+311.331041131047i
1.58383092174762,1.81611056907334,3.11067896787146,0.205044017197016+304.514579321014i
1.58383092174762,1.82471772816847,3.12542152222156,2.19295054316525+296.552799954292i
1.58383092174762,1.83332488726361,3.14016407657166,0.30330586426998+289.894067723522i
1.58383092174762,1.84193204635874,3.15490663092177,3.17455426697475+282.113662983779i
1.58383092174762,1.85053920545388,3.16964918527187,6.50116343307983+274.432920043434i
1.58383092174762,1.85914636454901,3.18439173962197,7.32069079786778+0.00524699371997531i
1.58383092174762,1.86775352364415,3.19913429397207,7.38295463344145+0.00513113224236189i
1.58383092174762,1.87636068273928,3.21387684832217,7.44745042656808+0.00501935324404371i
1.58383092174762,1.88496784183441,3.22861940267227,7.51428997393389+0.00491145846546961i
1.58383092174762,1.89357500092955,3.24336195702238,7.5835923521107+0.00480726170967212i
1.58383092174762,1.90218216002468,3.25810451137248,7.6554845019151+0.00470658795337615i
1.58383092174762,1.91078931911982,3.27284706572258,7.73010186895158+0.0046092725337273i
1.58383092174762,1.91939647821495,3.28758962007268,7.80758910663946+0.00451516040325913i
1.58383092174762,1.92800363731009,3.30233217442278,7.88810084883838+0.00442410544651581i
1.58383092174762,1.93661079640522,3.31707472877288,7.97180256011957+0.00433596985244743i
1.58383092174762,1.94521795550035,3.33181728312299,8.05887147279796+0.00425062353731237i
1.58383092174762,1.95382511459549,3.34655983747309,8.14949762107222+0.00416794361336595i
1.58383092174762,1.96243227369062,3.36130239182319,8.24388498403664+0.00408781389909487i
1.58383092174762,1.97103943278576,3.37604494617329,8.34225275097256+0.00401012446718182i
